Rank,Artist,Song,Streams
1,DABABY,Rockstar (Feat. Roddy Ricch),1728181
2,THE SCOTTS,The Scotts,1304173
3,LIL MOSEY,Blueberry Faygo,1156739
4,THE WEEKND,Blinding Lights,1095662
5,DRAKE,Toosie Slide,992418
6,RODDY RICCH,The Box,968286
7,STAYSOLIDROCKY,Party Girl,890482
8,JACK HARLOW,Whats Poppin,882159
9,SAINT JHN,Roses - Imanbek Remix,841194
10,MEGAN THEE STALLION,Savage Remix (Feat. Beyoncé),823884
11,6IX9INE,Gooba,801677
12,ARIANA GRANDE,Stuck With U (With Justin Bieber),775791
13,DON TOLIVER,After Party,762947
14,FUTURE,Life Is Good (Feat. Drake),723172
15,JUICE WRLD,Righteous,716158
16,NLE CHOPPA,Walk Em Down (Feat. Roddy Ricch),695693
17,POWFU,Death Bed (Coffee For Your Head) (Feat. Beabadoobee),676024
18,POST MALONE,Circles,660420
19,POLO G,Flex (Feat. Juice Wrld),651032
20,SURFACES,Sunday Best,645576
21,DOJA CAT,Say So (Feat. Nicki Minaj),636623
22,JUSTIN BIEBER,Intentions (Feat. Quavo),632689
23,DUA LIPA,Don'T Start Now,631883
24,DRAKE,Chicago Freestyle (Feat. Giveon),612185
25,HARRY STYLES,Adore You,611017
26,DOJA CAT,Say So,580356
27,ARIZONA ZERVAS,Roxanne,559810
28,BENEE,Supalonely,559096
29,TREVOR DANIEL,Falling,552257
30,MARSHMELLO,Be Kind (With Halsey),538794
31,TRAVIS SCOTT,Goosebumps,528977
32,FUTURE,Solitaires (Feat. Travis Scott),517864
33,RODDY RICCH,High Fashion (Feat. Mustard),517382
34,POST MALONE,Sunflower - Spider-Man: Into The Spider-Verse,505723
35,TRAVIS SCOTT,Highest In The Room,505524
36,MELANIE MARTINEZ,Play Date,500721
37,LIL UZI VERT,Myron,498787
38,NAV,Turks (With Gunna & Ft. Travis Scott),495705
39,HARRY STYLES,Watermelon Sugar,495611
40,TRAVIS SCOTT,Sicko Mode,478895
41,DUA LIPA,Break My Heart,477953
42,MUSTARD,Ballin' (With Roddy Ricch),475488
43,JUICE WRLD,Lucid Dreams,463887
44,BLACKBEAR,Hot Girl Bummer,461568
45,LEWIS CAPALDI,Someone You Loved,454117
46,LIL UZI VERT,P2,452940
47,MEGAN THEE STALLION,Savage,431512
48,G HERBO,Ptsd,429562
49,SURF MESA,Ily (I Love You Baby) (Feat. Emilee),420989
50,DOJA CAT,Boss Bitch,409305
51,EMINEM,Godzilla (Feat. Juice Wrld),405754
52,JP SAXE,If The World Was Ending - Feat. Julia Michaels,405357
53,POLO G,Go Stupid,404143
54,KYGO,Lose Somebody,400724
55,JUICE WRLD,Bandit (With Youngboy Never Broke Again),399772
56,DABABY,Bop,398680
57,LEWIS CAPALDI,Before You Go,397830
58,JUICE WRLD,Robbery,397130
59,TONES AND I,Dance Monkey,394093
60,TORY LANEZ,Broke In A Minute,378414
61,DIPLO,Heartless (Feat. Morgan Wallen),369629
62,DRAKE,Pain 1993 (With Playboi Carti),366770
63,BAD BUNNY,Yo Perreo Sola,365599
64,LIL UZI VERT,That Way - Bonus Track,361493
65,JUICE WRLD,All Girls Are The Same,357672
66,SLEEPY HALLOW,Deep End Freestyle,357546
67,POLO G,Be Something (Feat. Lil Baby),353260
68,BILLIE EILISH,Everything I Wanted,353155
69,YNW MELLY,Suicidal (Remix) [Feat. Juice Wrld],350477
70,KATY PERRY,Daisies,348002
71,THE WEEKND,In Your Eyes (With Doja Cat) - Remix,338719
72,BAD BUNNY,Safaera,338498
73,THE WEEKND,In Your Eyes,336371
74,GUNNA,Wunna,332789
75,LIL YACHTY,Oprah’S Bank Account (Lil Yachty & Dababy Feat. Drake),327118
76,FUTURE,Trillionaire (Feat. Youngboy Never Broke Again),326134
77,DAN + SHAY,"10,000 Hours (With Justin Bieber)",320231
78,XXXTENTACION,Jocelyn Flores,316242
79,MADISON BEER,Selfish,315965
80,DRAKE,Money In The Grave (Drake Ft. Rick Ross),314441
81,TORY LANEZ,Temperature Rising,312953
82,MORGAN WALLEN,Whiskey Glasses,311925
83,LIL TECCA,Ransom,311243
84,BILLIE EILISH,Bad Guy,309363
85,24KGOLDN,City Of Angels,308687
86,BILLIE EILISH,Lovely (With Khalid),307983
87,FUTURE,All Bad (Feat. Lil Uzi Vert),303966
88,GABBY BARRETT,I Hope,299793
89,XXXTENTACION,Sad!,297599
90,MORGAN WALLEN,Chasin' You,297141
91,NOAH CYRUS,July,296474
92,LUKE COMBS,Beautiful Crazy,296373
93,LIL BABY,Woah,295430
94,MAROON 5,Memories,294474
95,JACKBOYS,Out West (Feat. Young Thug),292277
96,J. COLE,Middle Child,291456
97,JOJI,Slow Dancing In The Dark,290447
98,POLO G,21,290395
99,THE WEEKND,Heartless,290134
100,DOJA CAT,Like That (Feat. Gucci Mane),286197
101,DABABY,Suge,285150
102,POST MALONE,Wow.,283072
103,LIL UZI VERT,Xo Tour Llif3,279889
104,POST MALONE,Rockstar (Feat. 21 Savage),276941
105,POST MALONE,Goodbyes (Feat. Young Thug),276355
106,LIL BABY,Heatin Up (Feat. Gunna),276127
107,JONAS BROTHERS,X (With Karol G),275915
108,LIL BABY,Emotionally Scarred,274435
109,HALSEY,You Should Be Sad,273687
110,BILLIE EILISH,When The Party'S Over,273397
111,DABABY,Jump (Feat. Youngboy Never Broke Again),272356
112,LIZZO,Truth Hurts,272183
113,POST MALONE,I Fall Apart,270688
114,TWENTY ONE PILOTS,Level Of Concern,270348
115,LIL BABY,Sum 2 Prove,270278
116,DON TOLIVER,No Idea,268000
117,YNW MELLY,Suicidal,267641
118,SOCIAL HOUSE,Magic In The Hamptons (Feat. Lil Yachty),267106
119,BROCKHAMPTON,Sugar,266769
120,POLO G,Martin & Gina,266679
121,HARRY STYLES,Falling,266404
122,ROD WAVE,Heart On Ice,265703
123,LIL UZI VERT,Lo Mein,265199
124,DABABY,Find My Way,264231
125,YNW MELLY,Murder On My Mind,263429
126,POLO G,Pop Out (Feat. Lil Tjay),263066
127,TAME IMPALA,The Less I Know The Better,262612
128,JUICE WRLD,Armed And Dangerous,259259
129,A BOOGIE WIT DA HOODIE,"Numbers (Feat. Roddy Ricch, Gunna And London On Da Track)",258079
130,LIL BABY,Drip Too Hard (Lil Baby & Gunna),257192
131,JOYNER LUCAS,Will - Remix,256054
132,DABABY,Vibez,255878
133,"TYLER, THE CREATOR",Earfquake,254798
134,MIGOS,Racks 2 Skinny,254403
135,POLO G,Beautiful Pain (Losin My Mind),254176
136,KHALID,Know Your Worth,253395
137,XXXTENTACION,Fuck Love (Feat. Trippie Redd),253242
138,LUKE COMBS,Does To Me,250581
139,LIL TJAY,F.N,249056
140,JXDN,Angels & Demons,248137
141,CHRIS BROWN,No Guidance (Feat. Drake),246764
142,$UICIDEBOY$,"...And To Those I Love, Thanks For Sticking Around",246454
143,MEEK MILL,Going Bad (Feat. Drake),246093
144,GROUPLOVE,Tongue Tied,243801
145,A BOOGIE WIT DA HOODIE,Swervin (Feat. 6Ix9Ine),243163
146,TRIPPIE REDD,Excitement,243079
147,DABABY,Pick Up (Feat. Quavo),241772
148,PARTYNEXTDOOR,Believe It,241759
149,YNW MELLY,223'S (Feat. 9Lokknine),241431
150,DABABY,Toes (Feat. Lil Baby & Moneybagg Yo),239899
151,POLO G,Heartless (Feat. Mustard),238990
152,POST MALONE,Better Now,238582
153,SHAWN MENDES,Señorita,238469
154,JUICE WRLD,Lean Wit Me,237656
155,HARRY STYLES,Lights Up,236985
156,THE WEEKND,After Hours,236702
157,MACHINE GUN KELLY,Bloody Valentine,235719
158,SAM FISCHER,This City,233983
159,ARIANA GRANDE,7 Rings,233119
160,DAN + SHAY,Speechless,233005
161,XXXTENTACION,Moonlight,232127
162,ELLIE GOULDING,Hate Me (With Juice Wrld),230872
163,MEGAN THEE STALLION,Captain Hook,230560
164,POST MALONE,Congratulations,230294
165,DRIPREPORT,Skechers,229788
166,CONAN GRAY,Maniac,228024
167,NLE CHOPPA,Camelot,227814
168,YOUNG THUG,The London (Feat. J. Cole & Travis Scott),227358
169,LIL UZI VERT,Futsal Shuffle 2020 - Bonus Track,226318
170,HALSEY,Without Me,225155
171,WALLOWS,Are You Bored Yet? (Feat. Clairo),223769
172,LIL SKIES,Havin My Way (Feat. Lil Durk),223765
173,J. COLE,No Role Modelz,222497
174,CHASE RICE,Lonely If You Are,221032
175,JHENÉ AIKO,B.S. (Feat. H.E.R.),220001
176,JUICE WRLD,Legends,219926
177,MORGAN WALLEN,More Than My Hometown,219614
178,DUA LIPA,Physical,217797
179,LUKE COMBS,When It Rains It Pours,217499
180,DAN + SHAY,Tequila,217364
181,POP SMOKE,Dior,216853
182,LIL BABY,Commercial (Feat. Lil Uzi Vert),216769
183,POST MALONE,Enemies (Feat. Dababy),216730
184,OLD DOMINION,One Man Band,216253
185,BAD BUNNY,Bye Me Fui,216152
186,YOUNGBOY NEVER BROKE AGAIN,Make No Sense,215848
187,QUALITY CONTROL,Baby (Lil Baby Feat. Dababy),215742
188,ED SHEERAN,Beautiful People (Feat. Khalid),215425
189,POLO G,33,214806
190,JONAS BROTHERS,Sucker,214630
191,MARSHMELLO,Happier,213972
192,CAMILA CABELLO,My Oh My (Feat. Dababy),213065
193,JAMES ARTHUR,Say You Won'T Let Go,213037
194,POLO G,Dnd,212845
195,G-EAZY,Moana,212607
196,BAD BUNNY,Si Veo A Tu Mamá,212028
197,WILLOW,Wait A Minute!,211666
198,LIL MOSEY,Stuck In A Dream (Feat. Gunna),211222
199,LUKE COMBS,Hurricane,211059
200,JOURNEY,Don'T Stop Believin',210500
